,indice,page_number,line_number,text,text_type,speaker,time_added
2837,7819,301,19,"The question is this:  If you were trying to calculate the value of the notes that were held on Astra's books as of the end of July 2018, if you multiplied the original face value of the notes, times the pool factor, times the price listed in Astra's books, is that the three steps you",q,MR. CROKE,start_answer
2838,7827,302,1,Mathur - Attorneys' Eyes Only would follow to determine the value of the notes held on Astra's books at that point?,a,THE WITNESS,start_chat
2839,7830,302,4,Objection.,side_chat,MR. ITKIN,start_answer
2840,7831,302,5,"On this occasion, Abacus specifically?",a,THE WITNESS,start_question
2841,7833,302,7,Yes.,q,MR. CROKE,start_answer
2842,7834,302,8,Yes.,a,THE WITNESS,start_question
2843,7835,302,9,Okay. Have you ever had any communications with anyone at Goldman Sachs regarding the Abacus 2006-10 CDO?,q,MR. CROKE,start_answer
2844,7839,302,13,What time frame are we talking about?,a,THE WITNESS,start_question
2845,7841,302,15,During your time at Astra.,q,MR. CROKE,start_answer
2846,7842,302,16,"I believe we may have, yes.",a,THE WITNESS,start_question
2847,7843,302,17,What's the first communication that you recall having with someone at Goldman Sachs regarding the Abacus 2006-10 securities during your time at Astra?,q,MR. CROKE,start_answer
2848,7847,302,21,I think it was in 2015.,a,THE WITNESS,start_question
2849,7848,302,22,Okay. And what do you recall about those communications?,q,MR. CROKE,start_answer
2850,7851,302,25,What I recall is the,a,THE WITNESS,start_answer
2851,7853,303,1,"Mathur - Attorneys' Eyes Only communication was requested by Goldman, I believe, through the trustee -- I'm not sure, I don't know, but one of those parties.",a,THE WITNESS,start_question
2852,7858,303,6,Uh-huh.,q,MR. CROKE,start_answer
2853,7859,303,7,"And I think my understanding is and my recollection is, and it's a little bit hazy, is that Goldman wanted to talk to us about a question that we had to do the trustees.",a,THE WITNESS,start_question
2854,7864,303,12,"And do you remember, did you ultimately have a communication with Goldman regarding the Abacus 2006-10 --",q,MR. CROKE,start_answer
